stock1,stock2,model_type,w1,w2,pval,snr,zcr,mu,stdev,skewness,profit_without_cost,profit_tax1,profit_tax2,open number,return,std1,skew1,timetrend,pos,int_w1,int_w2,done,StrategyOpenTime,StrategyCloseTime,Open_price,Open_pos,Close_price,Emu
1101,1477,model3,-0.2942126303502096,0.7057873696497904,0.15662483537413452,0.7672908669709809,0.12737333333333345,2.5549547025380206,0.0014771164112675724,0.19129034589374805,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2.554962461131759
1101,2347,model3,-0.10848779354542162,0.8915122064545784,0.05580993366119109,0.2297009624287611,0.10462666666666663,2.7654441801526235,0.0015749672033194453,-0.6685502875236999,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2.765629067036732
1101,2356,model3,-0.1729241999194752,0.8270758000805248,0.10798350122806084,0.7011772414856879,0.121,1.985367313150596,0.000982901031350325,0.23042841210997456,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1.9854389938420671
1101,2609,model3,-0.2233994086252832,0.7766005913747169,0.15744326697560215,0.5812321357181802,0.0965199999999999,0.8068972016465071,0.0007189168063800218,0.5634771607902324,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.8068377875694104
1101,2610,model3,-0.16999103481701575,0.8300089651829843,0.11962407605724695,3.5958198553497134,0.4484533333333332,1.3296407475913072,0.0017558182253468789,0.24678932705966405,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1.329609442298994
1101,2880,model3,-0.2783071683323097,0.7216928316676903,0.12472481098120793,0.9750094365150732,0.1832933333333331,1.0656949467283257,0.0011633388987672608,-0.11812264739863924,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1.065686954645423
1101,2887,model3,-0.17147065365812092,0.828529346341879,0.1292803548477995,1.2006773216426083,0.3334799999999998,1.488829486692383,0.0018403676019874003,-0.35166316220674004,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1.4888762797495438
1101,2892,model3,-0.21487448541273696,0.7851255145872631,0.1508420223111369,0.8942884807231789,0.24150666666666706,1.4727131434020226,0.001036517434856632,-0.8509849026565601,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1.4727120061839898
1101,3034,model3,-0.253681374489478,0.7463186255105221,0.1165290085234518,1.18024814107995,0.1649599999999998,2.6282431452243897,0.0016875945178513785,-0.23324250346078096,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2.628117764958847
1101,3037,model3,-0.07490635462557771,0.9250936453744224,0.043880690477688285,0.8176210231369455,0.27701333333333344,2.168070193237342,0.0016897606432571307,-0.358307658178778,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2.1682952582043145
1101,3682,model3,-0.2898969488148938,0.7101030511851062,0.12232462189007115,0.5648656735331933,0.18593333333333312,0.673138722129197,0.001975974030191778,-0.016553454139221116,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.6727917743973254
1101,5264,model3,-0.2432191234908129,0.7567808765091871,0.11462458430232896,0.25601114834722866,0.06706666666666669,2.7323708113273977,0.0026346726049363087,-0.7712805652198913,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2.7326820411874406
1101,5871,model3,-0.20309017635744114,0.7969098236425588,0.1573143430950147,0.4168808685150559,0.07150666666666662,2.4142080775829853,0.0006448102969335429,-0.3320086869534202,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2.414144498521952
1101,5880,model3,-0.19470891163988455,0.8052910883601154,0.13058410771808912,1.7257918806700134,0.26118666666666684,1.4658622179914809,0.001461386929117688,0.06688929757793485,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1.465825374309036
1101,9910,model3,-0.4761119281682853,0.5238880718317147,0.1277604340041264,0.6869286124706948,0.15874666666666667,0.9070169808456878,0.0013358603763266774,0.4721610301363935,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.9066795069885909
1303,2892,model3,-0.36851770345200185,0.6314822965479981,0.025662219040324712,0.13502589620537644,0.021293333333333254,0.2742968965506099,0.0017229101020175765,0.05044182290181982,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.27415212478683715
1303,3034,model3,-0.33155351811458783,0.6684464818854121,0.0657408184188765,0.9378051004997904,0.15826666666666647,1.7815569884205529,0.0015634091376069165,0.6155622710339821,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1.7813933050259383
1303,3037,model3,-0.011104110055319702,0.9888958899446804,0.02364732983087677,0.6752537092970609,0.2689066666666667,2.5474400216036166,0.0019280137453404126,-0.14481250994811048,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,2.547753338458898
1102,2002,model3,-0.31117965389270186,0.688820346107298,0.2347467477592089,1.0506815491603962,0.1852666666666666,1.0809760963402026,0.0008226104583792224,-0.3660303148294179,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1.0809689640822775
1102,2356,model3,-0.1930977018168294,0.8069022981831705,0.19502288287342212,0.8967068671175248,0.19290666666666645,1.894556890180668,0.0009233945674704977,0.2604613947088451,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,1.8945398387410382
