stock1,stock2,model_type,w1,w2,pval,snr,zcr,mu,stdev,skewness,Emu,Estd
1326,1402,model2,-0.7273584050519953,-0.2726415949480046,0.34826689457537163,0.17015095759044138,0.07137333333333341,-4.210411266491237,0.0008286947568453668,-0.7765028214104237,-4.210283386728659,0.0006413370553770064
1326,2354,model3,0.3997558708866231,0.6002441291133769,0.0049843447604241906,0.2655718250768528,0.11105333333333332,4.552068352090613,0.0006362125542657648,0.5332611701561754,4.5520282430045444,0.0006020314911798394
1326,2382,model2,0.5343653568493211,0.46563464315067893,0.0974594103980286,0.20253951696174274,0.08053333333333337,4.3762624434488,0.0008984017178699131,0.6665157929188018,4.3760665873591265,0.0008070885772100431
1326,2801,model3,0.6304705454616811,0.3695294545383189,0.004490858352523766,0.2390705474427956,0.11830666666666667,3.9460335726455154,0.0008868378992670523,0.41048349451706495,3.945803597567131,0.0007866319342876946
1326,2823,model3,0.5740617935717051,0.4259382064282949,0.00837785339387372,0.5762966113304369,0.15131999999999995,4.065830330918476,0.0005347702655683433,-0.14253228506929394,4.0657974506479375,0.0005282000355989752
1326,2880,model3,0.08246344397696034,0.9175365560230396,0.001822237103936211,0.8835769347800083,0.24821333333333345,2.97029008777707,0.001393767829495731,0.08088806990984311,2.970281746970893,0.001399441589523739
1326,2881,model3,-0.7857557460321201,-0.21424425396787994,0.09462458849378964,0.37302991169411703,0.12589333333333325,-4.424175352072302,0.0006786169941562633,0.3850209695309476,-4.424121282528047,0.0006612813686467259
1326,2884,model3,-0.06934713585552486,0.9306528641444752,0.003459689097321989,1.4731196046062465,0.29670666666666673,2.3963449544477595,0.0007763282233553798,-0.268116237563118,2.396325464286693,0.0007785514937551244
1326,2890,model3,-0.5013592134101442,0.4986407865898558,0.027599556446979367,0.3140816834749001,0.06477333333333332,-1.1651507434652357,0.0005921268999144197,-0.3656855437119919,-1.1651049376772,0.0005700739435702456
1326,1440,model3,-0.9743692667169012,-0.025630733283098703,0.23019121544265805,0.21285452516949707,0.07883999999999998,-4.503922393945411,0.0009669038513285453,-0.0785707930948616,-4.503764667909575,0.0008933748845477204
1326,2345,model3,-0.9041388208582402,-0.09586117914175996,0.08530255979940564,0.21348157164176595,0.09977333333333344,-4.513457895053197,0.000925599760662552,-0.04290183220949429,-4.513257286663031,0.0008276528704306947
1326,2355,model3,-0.9400940028662668,0.05990599713373335,0.02112909650704293,0.17561155606503862,0.07845333333333332,-4.030581405956388,0.0010195163701882874,-0.5589796987017193,-4.030355079399584,0.0009111330838992214
1326,2377,model3,-0.8049440949916822,-0.19505590500831785,0.010193276056262041,0.15669290445856185,0.08687999999999993,-4.499422789210562,0.0009723133899403902,-0.7994431084545223,-4.499181892014592,0.0008763208670544243
1326,2610,model3,0.25649112013263675,0.7435088798673632,0.001984092395164061,1.5087412376811191,0.3225066666666666,2.9033813260931662,0.001607405999281467,0.3654665447862752,2.9033792971632333,0.0016109729481108425
