stock1,stock2,model_type,w1,w2,pval,snr,zcr,mu,stdev,skewness,profit_without_cost,profit_tax1,profit_tax2,open number,return,std1,skew1,timetrend,pos,int_w1,int_w2,done,StrategyOpenTime,StrategyCloseTime,Open_price,Open_pos,Close_price
1402,9904,model3,-0.5934613022583579,0.40653869774164214,0.05818315342628506,0.3223645044641961,0.07178666666666668,-0.3951117190288635,0.0010651697065554202,-0.23297590075774274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303,1326,model3,-0.42846685928858386,0.5715331407114161,0.22598090162610152,0.36846177757688664,0.09932000000000003,0.7475674944931553,0.0005607080369359097,-0.2705810373712448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303,2633,model3,0.577896730185817,0.4221032698141829,0.16870750021877678,0.4806827900139024,0.08691999999999997,3.8843351306129597,0.0007103270935280466,0.09327065032764606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1326,2409,model3,-0.3658501409220296,0.6341498590779704,0.22557256103406934,0.9117168447344994,0.31916666666666677,-0.07342739807999715,0.0011139035730358693,0.21252761640436213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1326,2884,model3,-0.05831923318086336,0.9416807668191367,0.23206540126732547,0.5549421177866916,0.08239333333333322,2.4852299684410637,0.001360282530039036,-0.35353491210585913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2308,2882,model3,-0.33487796105326245,0.6651220389467376,0.2661186890487769,0.45185334977895647,0.12444666666666666,0.8825443905752308,0.0007651594262258893,-1.1079253246302292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2308,2884,model3,-0.20152597999626612,0.7984740200037339,0.04011126956394759,0.8322374026255511,0.17254666666666643,1.3041494290863966,0.0010890065546314456,-0.41674544408517394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2354,2884,model1,0.38980092569189684,-0.6101990743081033,0.9925314799582865,0.7882698780606471,0.1354733333333332,2.646290504926263e-07,0.0008283743625627698,0.045837659366478184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,2884,model3,-0.28211386758219387,0.7178861324178061,0.011975128158321385,1.3280750344682546,0.2921333333333332,0.5799790625506634,0.0008725915096967259,-0.31109931677650643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2330,2892,model3,-0.7096237509729241,0.2903762490270759,0.012970895512694666,0.32380478248520006,0.08287333333333333,-2.949746322004484,0.0010057090305859253,0.17395479351342366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2409,2892,model3,0.7924499457860307,0.20755005421396927,0.023460088043320334,1.321910315846758,0.28168000000000015,2.610733502753258,0.0012750948376593762,0.24694513045920982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2409,9904,model3,-0.7588750440254513,-0.2411249559745488,0.018335111931028714,1.2722657901431387,0.24400666666666693,-2.7944937960148986,0.0012429134658053856,-0.32503782719539603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2884,2892,model3,-0.8477575438502849,0.152242456149715,0.022856971626116492,0.9334626061942524,0.27793333333333325,-2.022228372514248,0.0010833997643155042,0.24153620463436182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2884,9904,model3,-0.7855553042161151,0.21444469578388495,0.02137051713417852,1.2932626444314095,0.24732666666666678,-1.5055322112530387,0.0009331483091311448,-0.027185801168980752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2633,2884,model3,0.08964602755763224,0.9103539724423678,0.05412931147306545,0.5645031291775294,0.11317999999999999,2.9525815871497847,0.0013101989612912344,-0.37306104104512683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2633,9904,model3,-0.7112100471112169,-0.28878995288878295,0.041317522231349865,0.05007079859729442,0.019999999999999858,-3.3886238831844233,0.0021413098577834507,0.7534998903049026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5880,9904,model3,-0.7192970529032746,0.2807029470967255,0.021683326737298343,1.946661249012522,0.2573533333333332,-0.9567562978734037,0.0010350521730535958,-0.16059158361381348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
