stock1,stock2,model_type,w1,w2,pval,snr,zcr,mu,stdev,skewness,profit_without_cost,profit_tax1,profit_tax2,open number,return,std1,skew1,timetrend,pos,int_w1,int_w2,done,StrategyOpenTime,StrategyCloseTime,Open_price,Open_pos,Close_price
2002,2633,model3,-0.6768992772800312,0.32310072271996876,0.03321158797052692,0.9158795775043156,0.1541133333333334,-1.192592404634391,0.0007772017960756454,-0.2916644178972545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,2882,model3,-0.7020797596178994,0.29792024038210063,0.02728056973395574,0.65386149460153,0.13979333333333344,-1.11322859331439,0.0007613102774342362,-0.14382630174839978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,2883,model3,-0.7166106686939533,0.28338933130604677,0.02666201814811863,0.710122811923217,0.13313999999999998,-1.7182710546399116,0.0007542664226648698,-0.16135533346825975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,2885,model3,-0.6583062780102515,0.3416937219897485,0.008164029185053035,1.4091675126570367,0.27482000000000045,-1.2531945752007243,0.0008942860249696954,0.01952189448737331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2324,2633,model3,-0.47988467431524157,0.5201153256847585,0.03891953302579213,1.2969266237966,0.17360666666666635,0.15310011229267767,0.0008815231654895754,-0.3534448367658412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2324,2883,model3,-0.5128111460464101,0.48718885395359,0.04656608001527345,0.6362624688473572,0.16212000000000001,-0.5210128172828554,0.0008660612183675069,-0.434426198055022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2324,2885,model3,-0.4736561592341903,0.5263438407658095,0.025582267578210582,1.9219260173921977,0.25114,-0.08259833238495494,0.0010934939472734236,-0.19162218260730324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2324,2891,model3,-0.2658140713092473,0.7341859286907527,0.009866386514497083,3.04428279921639,0.31642666666666674,1.3473566383663576,0.0008013292824731196,0.21775434234779584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2324,2892,model1,0.4933313968821856,-0.5066686031178145,0.8148922690719924,0.8904876541020389,0.1518199999999999,-6.073505234551746e-06,0.0010489946346737473,0.1889783167522185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2324,5880,model3,-0.5871894975862788,0.4128105024137212,0.06660985206947927,1.1077843157843157,0.21022666666666673,-0.6369173622961112,0.001091723750849328,-0.12635766793398598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2882,2885,model3,-0.4753436352723345,0.5246563647276655,0.02600228116632241,1.4485438799115395,0.2794000000000001,-0.5008011873188096,0.0010407936204591905,-0.08616609509163221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2801,2883,model3,-0.40512365838579245,0.5948763416142075,0.0743898521255822,0.6648972214537904,0.13634666666666673,0.07481659941555918,0.0008289566222864467,-0.20000185745835306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2801,2885,model3,-0.37237252327131176,0.6276274767286882,0.05546213021433058,1.271460882530347,0.28363999999999984,0.5227707903146643,0.0013850139596904558,-0.1890490923054388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2633,2883,model3,-0.5403709156006464,0.45962908439935357,0.05678846161772393,0.36306500130516767,0.09297333333333324,-0.6949578603273221,0.0009719469664382848,-0.5846399657202016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2633,2885,model3,-0.4904514243398369,0.509548575660163,0.02821045903172306,1.631736279221285,0.36574,-0.20623366046163785,0.0011341186998217985,0.058699427840748546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2883,2885,model3,-0.4741830201935022,0.5258169798064978,0.05326459102789851,1.596022454786531,0.22447999999999985,0.3466985216720561,0.0010316621199262675,0.06818928511944455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2883,2891,model3,-0.2607943763742889,0.739205623625711,0.04428882255174366,2.0418667115494236,0.4126733333333334,1.6148141121973696,0.000779599810014165,0.18692100935086448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2885,2891,model3,-0.2844424724940964,0.7155575275059036,0.0014762728120354632,4.46534476879437,0.39936000000000066,1.3671166223397695,0.0008271806880868973,0.026512757979786354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2885,2892,model3,-0.3534361147866299,0.64656388521337,0.006366577292652061,2.9408128714373145,0.3664599999999998,0.99079943902805,0.0010707210600147579,-0.09398070201020348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2885,5880,model3,-0.6074065861837007,0.3925934138162992,0.05308672644416421,2.2625152836802935,0.3395933333333336,-0.4748888547111976,0.001235586565946078,0.04258914547930347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
