stock1,stock2,model_type,w1,w2,pval,snr,zcr,mu,stdev,skewness,profit_without_cost,profit_tax1,profit_tax2,open number,return,std1,skew1,timetrend,pos,int_w1,int_w2,done,StrategyOpenTime,StrategyCloseTime,Open_price,Open_pos,Close_price
1301,2884,model3,-0.038206065257397406,0.9617939347426026,0.26675434948609256,0.794390477764545,0.035526666666666665,2.6257405891842067,0.0013718399233132123,0.6522030024417503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1303,2317,model3,-0.5916870570396381,0.40831294296036197,0.1736565588955086,0.23618552334889617,0.04193999999999997,-0.6726457331019859,0.0006793938867590345,-0.06439532827057141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,2317,model3,-0.583819277927589,0.41618072207241097,0.4740091677515067,0.39031307041272806,0.06565999999999995,-0.019733351538547196,0.0007732538935055739,-0.40953377572297445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,2823,model3,-0.545829251217415,0.45417074878258507,0.1180065909654517,0.5298120997185508,0.09206666666666649,-0.20738761500897718,0.0007428414088068004,-0.10240680809464295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,2891,model3,-0.7399023911348083,0.2600976088651918,0.25251604138417055,0.4371922286751063,0.06655333333333333,-1.6357255624543787,0.0009566142014719577,-0.6119036968696809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2317,2891,model3,-0.6827838641827441,0.31721613581725594,0.7467432253875949,0.6834754572638271,0.16181333333333303,-2.1422485606456445,0.0005281891409137708,-0.42692649024239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2382,3481,model3,0.37118532065656484,0.6288146793434352,0.2991118211715869,0.26716881708397017,0.028159999999999977,3.126943442783939,0.0018994408834371597,-0.20883407735352733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
