stock1,stock2,trade_capital,open,loss,reward,open_num
1536,2448,677.9931,2.6328389830508536,8.9762711864407,-0.30689999999999884,1
2105,2448,296.24275,3.453852327447829,11.505617977528125,-0.5072499999999849,1
2303,2353,176.0156,4.000000000000004,12.500000000000034,1.390599999999992,1
2313,2409,90.673,2.193017888055368,4.018753606462444,-0.2920000000000016,1
2337,6116,73.2482,5.7367647058823605,13.470588235294136,-0.10679999999999978,1
2344,9910,254.33249999999998,5.7367647058823605,13.470588235294136,-0.5175000000000125,1
2376,5871,707.5225,2.086678832116794,6.2883211678832325,-3.137500000000017,1
2376,6269,199.434,2.086678832116794,6.2883211678832325,0.29400000000001114,1
2379,6269,760.434,1.749999999999973,3.4999999999998117,0.19399999999995998,1
2448,5871,564.92,2.086678832116794,6.2883211678832325,-4.730000000000018,1
2845,6269,143.6925,2.086678832116794,6.2883211678832325,0.09250000000000114,1
2915,6269,207.556,2.086678832116794,6.2883211678832325,1.2459999999999951,1
3406,5871,840.8125,1.4751902346226717,3.9999999999997113,0.9624999999999773,1
4958,9921,434.3816,1.1218344155846804,3.0000000000002496,-0.2184000000000026,1
