stock1,stock2,model_type,w1,w2,pval,snr,zcr,mu,stdev,skewness,Emu,Estd
1301,2884,model3,-0.5715709762899637,0.4284290237100363,0.3568920992512045,0.3233183848666758,0.09470666666666673,-1.2653713971674263,0.0008360340003381241,-0.7807362587821193,-1.2652241032240996,0.0006974720154329643
1301,3034,model3,-0.541000744448938,0.458999255551062,0.2701892638122328,0.30607297660595617,0.04381333333333325,-0.09546253798389297,0.0013683025205036069,-0.6044243421188413,-0.09538087227088202,0.0013700306595557854
1102,1301,model3,-0.6063443375617369,0.3936556624382632,0.2976934576399364,0.2652308034450129,0.14280000000000004,-0.2911695318446829,0.0009486788653504961,1.009805167033979,-0.2912886677987732,0.0008392547800513306
1102,2317,model3,-0.6124349936006716,0.3875650063993285,0.19440310145624026,0.24320615807173,0.13029333333333346,-0.3416784584533742,0.0009908766052960391,1.025519153269024,-0.3418162801315926,0.0008052747812801808
1102,2357,model3,-0.6465333982428746,0.3534666017571253,0.3216046794007705,0.31246284723633194,0.17089333333333326,-0.156981815643769,0.0010470315427969301,0.9523353849402221,-0.15710371339319407,0.0009350913076925862
1102,2382,model3,-0.6573419168322764,0.3426580831677236,0.2370752392163449,0.25911993121049537,0.09925333333333328,-0.7947680325257969,0.0011070520904775134,0.4223818601850186,-0.7948414310180623,0.001036318075329703
1102,2883,model3,-0.5036781885883032,0.4963218114116969,0.2123946980353597,0.460633949431587,0.17553333333333307,-0.6410202832276396,0.0008153708030343782,0.4860765587238658,-0.6410664708858651,0.000761420231511999
1102,6505,model3,-0.644995052180765,0.355004947819235,0.4024813591017937,0.3035509171943403,0.16414666666666666,-0.5663705559838884,0.001063477094458079,0.6547320620874564,-0.5664909348069299,0.0009587211269596984
1102,3037,model3,-0.6860240804801998,0.3139759195198001,0.010058817763964232,0.08508433004705031,0.030746666666666506,-1.3913712986395108,0.002391109579310655,1.4211578493365924,-1.3919270120389606,0.0018278508327084601
1102,6285,model3,-0.7084542454123968,0.29154575458760323,0.08858411368348433,0.1810982742841913,0.06381333333333337,-1.0357048597639953,0.0013666267861807352,1.3990307850452937,-1.0359011773746665,0.0011513878700944906
1102,8150,model3,-0.6199306247886934,0.38006937521130657,0.29345815334103825,0.3024879896667301,0.1285066666666667,-0.718179965609292,0.0010580615307558717,0.7192295598359338,-0.7183034382793181,0.0009343289346926107
1216,2303,model3,-0.6468545392992834,0.3531454607007166,0.15513963510659035,1.0715660009659405,0.28897333333333314,-1.7027949535896492,0.0006939397716237638,0.2860581864830946,-1.7028381360937235,0.0006699339878320867
1216,2317,model3,-0.6720843461025753,0.3279156538974247,0.18565840481526352,0.6431965093306186,0.15947999999999996,-1.2913977047794951,0.000703425077118737,-0.18364926131788667,-1.2914001291585724,0.0007072966197124527
1216,2382,model3,-0.7042723911727942,0.29572760882720583,0.21905525102613693,0.6352560932059383,0.2186933333333332,-1.655805250816676,0.0006753512913122134,0.049437390831007635,-1.6557948054848382,0.0006805916738569196
1216,2881,model3,-0.6783982218849913,0.3216017781150087,0.2035644735652591,1.4211990481554084,0.23581333333333326,-1.5677437760715731,0.0005040149526131246,-0.2984581937510278,-1.5677500790149492,0.0005032589683185614
1216,2884,model3,-0.7232566575226838,0.2767433424773163,0.3677243178727952,0.7035915461670524,0.1166400000000001,-2.132516821294941,0.0007004434998294543,0.0712999883189044,-2.1324777874367666,0.000668241517331001
1216,5880,model3,-0.4989642265586489,0.5010357734413511,0.20888684415619824,0.6832466482865615,0.09945333333333342,-0.69543488763987,0.0010155233141047094,-0.13489349286494984,-0.6954024261764568,0.0010165346393125245
1216,2049,model3,-0.7277068314760861,0.27229316852391394,0.04234879962363828,0.2546031092263332,0.06541333333333332,-1.6008094969598334,0.0011379815063272307,-0.2811958666026332,-1.6010659270503453,0.0010754885707832662
1216,2347,model3,-0.7075276576295944,0.2924723423704057,0.28428168607326826,0.7609942210485795,0.1810533333333331,-1.8339735329962563,0.000692983519686043,-0.15333055041110288,-1.8339188666785613,0.0006560256526232887
1216,2867,model3,-0.5681727011668206,0.4318272988331793,0.29693089323175176,0.3675339323921181,0.09208000000000008,-1.0754317618031823,0.0009317292656138047,-0.09736828200525817,-1.075533692891607,0.0008397851568559092
1216,3037,model3,-0.7028657443116572,0.2971342556883429,0.016714506929284213,0.10812711877107307,0.03547999999999988,-2.010061958987874,0.001848347200913284,0.5696163394169153,-2.010589008014307,0.0013944490602746068
1216,6285,model3,-0.7669684152190679,0.2330315847809321,0.08553486667454158,0.5036536273584314,0.08961333333333332,-2.054539600533346,0.0007649678337243759,0.12966915820079525,-2.0545649430069313,0.0007575894770295709
1216,8150,model3,-0.6715244475878205,0.3284755524121795,0.3006599041905156,0.49029200139513,0.12297333333333328,-1.5625313561765857,0.0007496874729856374,0.1954554380428817,-1.5626502561662396,0.0007437618371709064
2002,1605,model3,-0.5399768348020676,0.4600231651979324,0.2303368109758327,0.17788164046578975,0.04217333333333328,-0.6395535723840738,0.0016925771213775391,0.6767681212809913,-0.6397902086259789,0.001421837406418003
2303,2880,model3,-0.38678894982923695,0.6132110501707629,0.05459414761098357,0.5277018206426572,0.14210666666666658,0.6756088660682448,0.0010827186954917411,-0.20502142146858773,0.6756289547533963,0.001071141943297051
2303,2881,model3,-0.5310917689235811,0.4689082310764189,0.17018826936706152,1.16899025372869,0.16094666666666654,0.3409873119719674,0.000807220045616757,0.1681606167470758,0.3410133994301154,0.0007990079937370873
